"","ticker","date","open","high","low","close"
"1","A",2018-02-02,72.32,72.76,71.22,71.25
"2","A",2018-02-05,70.86,71.48,68.18,68.22
"3","A",2018-02-06,66.96,68.83,66.13,68.45
"4","A",2018-02-07,68.19,69.085,67.905,68.06
"5","A",2018-02-08,68.09,68.16,65.03,65.05
"6","A",2018-02-09,66.4,67.53,65.29,66.98
"7","A",2018-02-12,67.46,69.05,67.37,68.43
"8","A",2018-02-13,67.97,68.49,67.66,68.34
"9","A",2018-02-14,67.8,69.89,67.62,69.7
"10","A",2018-02-15,74.94,74.99,71.22,72.02
"11","A",2018-02-16,71.97,72.7,71.6207,71.97
"12","A",2018-02-20,71.5,71.85,70.7,71.08
"13","A",2018-02-21,71.12,72.7,70.97,71.25
"14","A",2018-02-22,71.72,71.76,70.51,70.68
"15","A",2018-02-23,71.15,71.37,70.06,70.7
"16","A",2018-02-26,71,71.21,70.01,70.58
"17","A",2018-02-27,70.75,70.92,69,69
"18","A",2018-02-28,69.42,70,68.57,68.59
"19","A",2018-03-01,68.47,68.8,66.79,67.38
"20","A",2018-03-02,66.82,67.68,66.65,67.51
"21","A",2018-03-05,67.25,67.85,66.51,67.55
"22","A",2018-03-06,67.78,68.42,67.45,68.11
"23","A",2018-03-07,67.36,69.855,67.3,69.7
"24","A",2018-03-08,69.72,70.27,69.19,69.85
"25","A",2018-03-09,70.27,71.5,70,71.13
"26","A",2018-03-12,71.2,71.53,70.67,70.71
"27","A",2018-03-13,71,71.52,70.42,70.68
"28","A",2018-03-14,71.07,71.16,69.6907,69.92
"29","A",2018-03-15,70.09,70.66,69.87,70.18
"30","A",2018-03-16,69.92,70.34,69.05,69.9
"31","A",2018-03-19,69.79,70.31,69.06,69.34
"32","A",2018-03-20,69.77,70.07,69.45,69.85
"33","A",2018-03-21,69.88,70.09,69.36,69.4
"34","AA",2018-02-02,52,52,49,49.09
"35","AA",2018-02-05,48.61,50.75,47.8,48.46
"36","AA",2018-02-06,47.44,50.2,47.28,49.43
"37","AA",2018-02-07,49.23,49.42,47.67,47.7
